tanggal;T2M;RH2M;WS2M;PS
01/04/2025;24.39;84.85;1.09;95.73
02/04/2025;24.86;84.21;0.76;95.8
03/04/2025;24.18;91.43;1.11;95.82
04/04/2025;24.28;86.38;1.38;95.81
05/04/2025;24.81;84.36;0.96;95.76
06/04/2025;24.62;85.05;1.27;95.83
07/04/2025;24.8;86.63;1.4;95.9
08/04/2025;24.99;88.02;1.6;95.89
09/04/2025;25.46;88.55;1.18;95.78
10/04/2025;24.87;91.8;1.07;95.68
11/04/2025;25.04;87.8;1.19;95.68
12/04/2025;25.4;86.25;1.15;95.74
13/04/2025;25.06;89.37;1.34;95.75
14/04/2025;24.57;90.58;1.16;95.74
15/04/2025;25.15;82.71;1.02;95.74
16/04/2025;25.23;86.74;1.11;95.7
17/04/2025;24.63;88.79;0.67;95.67
18/04/2025;24.59;86.95;1.24;95.71
19/04/2025;25.27;86.49;1.04;95.65
20/04/2025;24.8;88.65;1.16;95.73
21/04/2025;25.06;86.67;1.11;95.84
22/04/2025;24.82;88.27;1.73;95.86
23/04/2025;23.75;84.32;1.64;95.82
24/04/2025;24.69;77.8;0.55;95.78
25/04/2025;25.26;82.92;0.87;95.81
26/04/2025;25.08;85.61;1.57;95.83
27/04/2025;24.39;83.17;1.44;95.81
28/04/2025;23.2;85.45;1.91;95.76
29/04/2025;23.26;85.57;2.2;95.75
30/04/2025;23.91;85.16;1.8;95.75
