tanggal,T2M,RH2M,WS2M,PS_hPa,cuaca
01/06/2025,25.3,88.76,0.64,964.5999999999999,Mendung
02/06/2025,24.52,88.85,0.47,964.0,Mendung
03/06/2025,25.26,85.82,0.62,963.4000000000001,Mendung
04/06/2025,25.08,85.16,0.56,964.3000000000001,Mendung
05/06/2025,24.46,86.43,1.01,964.3000000000001,Mendung
06/06/2025,24.38,86.38,1.02,963.9,Mendung
07/06/2025,24.32,87.96,1.1,964.0999999999999,Mendung
08/06/2025,24.14,89.86,1.11,962.8,Mendung
09/06/2025,24.28,88.33,0.93,962.2,Mendung
10/06/2025,23.9,88.62,1.14,962.0,Mendung
11/06/2025,23.55,87.45,1.43,962.3000000000001,Mendung
12/06/2025,23.44,86.68,1.12,962.6,Mendung
13/06/2025,24.33,89.48,1.0,964.0999999999999,Mendung
14/06/2025,24.98,89.06,0.84,963.7,Mendung
15/06/2025,24.8,88.8,0.83,963.1999999999999,Mendung
16/06/2025,24.33,89.57,1.11,963.1,Mendung
17/06/2025,23.97,88.27,1.16,964.0,Mendung
18/06/2025,23.37,84.81,1.0,963.5,Tak Terklasifikasi
19/06/2025,23.26,84.82,0.9,963.7,Tak Terklasifikasi
20/06/2025,23.57,86.92,0.72,964.0,Mendung
21/06/2025,23.89,88.53,0.92,964.2,Mendung
22/06/2025,23.49,88.54,1.29,964.2,Mendung
23/06/2025,22.98,88.11,1.24,963.8,Mendung
24/06/2025,23.3,87.92,1.03,964.4,Mendung
25/06/2025,23.72,89.19,1.13,965.0,Mendung
26/06/2025,23.58,91.47,1.23,964.3000000000001,Mendung
27/06/2025,23.8,89.79,1.25,963.7,Mendung
28/06/2025,23.77,89.2,1.2,963.4000000000001,Mendung
29/06/2025,23.42,88.94,1.41,962.9000000000001,Mendung
30/06/2025,23.1,88.16,1.22,963.0,Mendung
